From/to,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,CCC/C,Default,,
AAA,0.897089983,0.061462884,0.026400165,0.007115669,0.00165001,0.002475015,0.001340633,0,0.000515628,0,0.000309377,0.000515628,0,0,0.000309377,0,0.000515628,0.0003,,
AA+,0.024704283,0.806697786,0.115904263,0.037262294,0.00751422,0.003499773,0.00205869,0.000514673,0.001029345,0.000514673,0,0,0,0,0,0,0,0.0003,,
AA,0.004367773,0.013831281,0.837572433,0.090267305,0.02922248,0.012271362,0.0038478,0.004159784,0.00135193,0.000831957,0.000519973,0.000311984,0.000207989,0.000207989,0,0.000207989,0.000519973,0.0003,,
AA-,0.000417152,0.001147167,0.039733709,0.819181847,0.102827919,0.023673365,0.006257277,0.002607199,0.001564319,0.000730016,0.000312864,0,0,0.000312864,0.000834304,0,0,0.0004,,
A+,0,0.000627761,0.004812834,0.047500576,0.816926201,0.092908615,0.0230179,0.006486863,0.003557312,0.000941641,0.000627761,0.000941641,0.000104627,0.000732388,0.00031388,0,0,0.0005,,
A,0.000417857,0.000417857,0.002298212,0.004387496,0.055888343,0.821506409,0.071975829,0.025698191,0.009506242,0.002820533,0.001044642,0.001149106,0.000731249,0.000940178,0.000208928,0,0.000208928,0.0008,,
A-,0.000417642,0.000104411,0.000626463,0.001670569,0.004594064,0.06828449,0.8116875,0.077681438,0.021821802,0.006160222,0.001461747,0.001461747,0.001252926,0.001148516,0.000208821,0.000104411,0.000313232,0.001,,
BBB+,0,0.000105308,0.000631846,0.000737154,0.002211461,0.008319305,0.075716206,0.794651587,0.086562895,0.017270456,0.004001691,0.00315923,0.001474307,0.001684923,0.001158384,0.000210615,0.000737154,0.001367479,,
BBB,0.000106067,0.000106067,0.000424266,0.000212133,0.001166732,0.003500196,0.010924854,0.084535034,0.800272064,0.067458321,0.015167516,0.006363993,0.00307593,0.002545597,0.001166732,0.000424266,0.000530333,0.002019901,,
BBB-,0.000107233,0.000107233,0.000214465,0.000536163,0.000750628,0.001501255,0.00300251,0.0128679,0.101334716,0.771645098,0.061122527,0.023376686,0.009543693,0.003967603,0.00257358,0.001822953,0.002466348,0.003059412,,
BB+,0.000544012,0,0,0.000326407,0.000217605,0.000979221,0.000979221,0.004678499,0.018931601,0.127407496,0.701448441,0.083995377,0.030682249,0.011424242,0.006201731,0.002720058,0.004352092,0.005111751,,
BB,0,0,0.000437368,0.000109342,0,0.000656051,0.000546709,0.001968154,0.005467094,0.023180478,0.107373722,0.709410091,0.095346116,0.025585999,0.011590239,0.003608282,0.005904461,0.008815895,,
BB-,0,0,0,0.000110587,0.000110587,0.000110587,0.000552935,0.00110587,0.002432915,0.00409172,0.019905665,0.109591746,0.698799436,0.096210715,0.035056088,0.00928931,0.007630505,0.015001333,,
B+,0,0.000112038,0,0.000336114,0,0.000336114,0.000672228,0.00056019,0.000672228,0.001232418,0.003585217,0.016693668,0.092431382,0.70449519,0.10453149,0.02912989,0.019718695,0.025493136,,
B,0,0,0.000113471,0.000113471,0,0.000340414,0.000453885,0.000113471,0.000567357,0.000340414,0.001475127,0.002496369,0.013049204,0.089188471,0.700912449,0.101102961,0.045615477,0.044117457,,
B-,0,0,0,0,0.000231239,0.000462477,0,0.000809335,0.000578097,0.001271813,0.001040574,0.001618671,0.005665348,0.027633025,0.121631559,0.621107164,0.13943694,0.078513757,,
CCC/C,0,0,0,0,0.000222016,0,0.003478256,0.000703052,0.000740054,0.00040703,0.000999074,0.003848283,0.009139673,0.012321907,0.032784414,0.101017437,0.622163805,0.212174999,,
Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
